fund_code,fund_code,fund_name,fund_name,fund_type,manager_name,company,nav,acc_nav,daily_return,weekly_return,monthly_return,quarterly_return,half_year_return,yearly_return,two_year_return,three_year_return,ytd_return,since_inception_return,custom_return,fee
000037,000037,广发景宁债券A,广发景宁债券A,债券型-长债,宋倩倩,广发基金,1.1749,1.2173,0.0,0.0,0.95,0.31,1.84,3.31,8.55,12.1,0.38,22.3,3.2879,0.08%
000039,000039,农银高增长混合,农银高增长混合,混合型-偏股,张燕,农银汇理基金,3.4723,3.4723,0.12,7.17,-9.07,-1.2,4.02,11.43,-11.9,2.74,-2.13,247.23,14.6617,0.15%
000041,000041,华夏全球股票(QDII)(人民币),华夏全球股票(QDII)(人民币),QDII-普通股票,李湘杰/ 潘中宁,华夏基金,1.1018,1.1018,1.06,6.82,-4.57,-5.67,-3.9,8.68,32.43,10.85,-6.6,10.18,,0.16%
000042,000042,财通中证ESG100指数增强A,财通中证ESG100指数增强A,指数型-股票,顾弘原,财通基金,1.8393,2.3281,-0.13,2.23,-6.67,-1.36,-3.73,3.69,-2.89,0.79,-5.31,153.87,5.0188,0.12%
000043,000043,嘉实美国成长股票人民币,嘉实美国成长股票人民币,QDII-普通股票,张楠/ 张自力,嘉实基金,4.311,4.311,0.54,7.69,-4.18,-12.07,-8.18,3.41,47.23,45.49,-12.61,331.1,,0.15%
000045,000045,工银产业债债券A,工银产业债债券A,债券型-混合二级,谷青春/ 何秀红/ 张玮升,工银瑞信基金,1.472,1.877,0.0,0.55,-1.08,-0.34,1.66,3.81,4.55,6.77,-0.67,96.13,4.0283,0.08%
000046,000046,工银产业债债券B,工银产业债债券B,债券型-混合二级,谷青春/ 何秀红/ 张玮升,工银瑞信基金,1.42,1.799,-0.07,0.5,-1.11,-0.49,1.43,3.42,3.73,5.48,-0.84,86.83,3.6496,0.00%
000047,000047,华夏双债债券A,华夏双债债券A,债券型-混合一级,柳万军,华夏基金,1.8165,2.1186,-0.31,1.59,-2.78,0.79,7.1,12.17,12.06,12.97,1.56,129.82,12.4837,0.08%
000048,000048,华夏双债债券C,华夏双债债券C,债券型-混合一级,柳万军,华夏基金,1.7659,2.0576,-0.32,1.59,-2.8,0.72,6.95,11.84,11.41,11.98,1.47,122.16,12.1562,0.00%
000051,000051,华夏沪深300ETF联接A,华夏沪深300ETF联接A,指数型-股票,赵宗庭,华夏基金,1.3941,1.3941,0.05,2.89,-5.84,-0.74,-1.89,8.74,-3.03,-3.45,-3.97,39.41,9.8582,0.12%
000054,000054,鹏华双债增利债券A,鹏华双债增利债券A,债券型-混合二级,杨雅洁,鹏华基金,1.3116,1.6819,-0.08,0.51,-0.8,0.51,1.02,3.9,1.79,2.57,-0.13,76.83,4.1862,0.08%
000056,000056,建信消费升级混合,建信消费升级混合,混合型-灵活,邱宇航,建信基金,2.007,2.007,0.1,2.61,-6.17,-1.52,-2.1,-2.15,-17.37,-17.24,-4.25,100.7,-0.6927,0.15%
000057,000057,中银消费主题混合A,中银消费主题混合A,混合型-偏股,杨庆运,中银基金,1.649,1.649,0.37,5.91,-1.67,5.71,-4.46,-13.12,-23.2,-24.01,2.68,64.9,-11.2487,0.15%
000058,000058,国联安安泰灵活配置混合,国联安安泰灵活配置混合,混合型-灵活,刘佃贵/ 薛琳,国联安基金,1.5191,1.9238,0.07,1.02,-1.06,0.3,1.8,8.57,9.04,13.39,-0.39,94.36,9.0837,0.10%
000059,000059,国联安中证医药100A,国联安中证医药100A,指数型-股票,黄欣,国联安基金,0.9491,1.5091,-0.06,3.08,-1.21,6.39,1.28,2.3,-21.5,-16.0,2.12,45.63,3.9312,0.12%
000061,000061,华夏盛世混合,华夏盛世混合,混合型-偏股,郑煜,华夏基金,1.2,1.2,-0.58,6.57,-9.37,-1.96,-1.64,2.3,-9.64,-13.29,-2.44,20.0,4.8951,0.15%
000063,000063,长盛电子信息主题灵活配置混合,长盛电子信息主题灵活配置混合,混合型-灵活,朱律,长盛基金,1.309,1.309,-0.46,7.56,-11.01,-9.22,-14.28,-7.16,-27.2,-28.39,-10.03,30.9,-6.0976,0.15%
000065,000065,国富焦点驱动混合A,国富焦点驱动混合A,混合型-灵活,刘晓/ 刘怡敏,国海富兰克林基金,2.0766,2.3463,-0.02,0.47,-0.27,-0.39,1.88,2.39,5.55,6.24,-0.35,147.69,2.5684,0.15%
000066,000066,诺安鸿鑫混合A,诺安鸿鑫混合A,混合型-偏股,李迪,诺安基金,1.437,2.0281,-1.18,4.93,-7.12,7.58,8.35,4.27,-24.95,-19.59,6.33,102.81,7.2468,0.15%
000067,000067,民生加银转债优选A,民生加银转债优选A,债券型-混合二级,关键,民生加银基金,0.75,1.15,-0.13,1.76,-1.83,0.54,5.49,-5.54,-8.42,-9.64,0.67,4.15,-4.8223,0.08%
000068,000068,民生加银转债优选C,民生加银转债优选C,债券型-混合二级,关键,民生加银基金,0.722,1.112,-0.14,1.83,-1.9,0.56,5.25,-5.87,-9.18,-10.64,0.56,-0.44,-5.1248,0.00%
000069,000069,国投瑞银中高等级债券A,国投瑞银中高等级债券A,债券型-混合一级,宋璐,国投瑞银基金,1.1457,1.6681,-0.06,0.14,-0.02,0.28,2.45,3.26,6.74,9.24,0.55,84.28,3.2643,0.08%
000070,000070,国投瑞银中高等级债券C,国投瑞银中高等级债券C,债券型-混合一级,宋璐,国投瑞银基金,1.1434,1.6256,-0.06,0.14,-0.04,0.2,2.34,2.97,6.04,8.25,0.46,77.42,2.9718,0.00%
000071,000071,华夏恒生ETF联接A,华夏恒生ETF联接A,指数型-海外股票,徐猛,华夏基金,1.3358,1.3358,0.23,6.69,-9.54,11.52,7.51,34.26,15.56,17.44,7.33,33.58,36.8367,0.12%
000072,000072,华安稳健回报混合A,华安稳健回报混合A,混合型-灵活,朱才敏,华安基金,1.3256,2.3294,-0.09,0.38,-0.59,0.19,1.43,3.1,2.35,4.04,-0.33,132.94,3.3848,0.15%
000073,000073,摩根成长动力混合A,摩根成长动力混合A,混合型-灵活,杨景喻/ 叶敏,摩根资产管理,1.6747,1.6747,-0.55,4.73,-7.49,-1.51,-4.68,-9.26,-20.91,-19.9,-0.76,67.47,-7.9026,0.15%
000080,000080,天治可转债增强债券A,天治可转债增强债券A,债券型-混合二级,李申,天治基金,1.5106,1.5106,0.09,0.54,-0.09,-0.34,6.49,5.61,0.51,-1.01,0.35,51.06,5.8288,0.08%
000081,000081,天治可转债增强债券C,天治可转债增强债券C,债券型-混合二级,李申,天治基金,1.4434,1.4434,0.1,0.53,-0.12,-0.44,6.27,5.2,-0.25,-2.14,0.24,44.34,5.4115,0.00%
000082,000082,嘉实研究阿尔法股票A,嘉实研究阿尔法股票A,股票型,肖觅/ 张露,嘉实基金,1.641,2.476,-0.18,3.66,-5.31,-0.24,-1.32,3.34,-8.27,-4.37,-3.07,220.66,5.1249,0.15%
000083,000083,汇添富消费行业混合,汇添富消费行业混合,混合型-偏股,胡昕炜,汇添富基金,4.818,4.818,0.44,1.84,-5.95,-0.35,-6.34,-10.51,-22.59,-26.38,-3.21,381.8,-9.4191,0.15%
000084,000084,博时安盈债券A,博时安盈债券A,债券型-中短债,陈黎,博时基金,1.2573,1.4707,0.01,0.04,0.38,0.32,1.19,2.01,5.48,7.95,0.33,49.7,2.0062,0.03%
000086,000086,南方稳利1年持有期债券A,南方稳利1年持有期债券A,债券型-长债,王景明,南方基金,1.1654,1.5583,0.0,-0.01,0.94,0.28,2.35,3.01,7.94,11.71,0.48,69.93,2.9869,0.06%
000089,000089,民生加银高等级信用债C,民生加银高等级信用债C,债券型-中短债,李文君,民生加银基金,1.1025,1.1025,0.0,0.03,0.38,0.38,1.12,2.0,5.03,7.24,0.44,10.25,1.9983,0.00%
000090,000090,民生加银高等级信用债A,民生加银高等级信用债A,债券型-中短债,李文君,民生加银基金,1.1153,1.1153,0.0,0.04,0.41,0.44,1.24,2.24,5.54,8.02,0.5,11.53,2.2273,0.06%
000103,000103,国泰中国企业境外高收益债,国泰中国企业境外高收益债,QDII-纯债,朱丹,国泰基金,0.7655,0.7655,0.01,0.07,0.62,1.55,2.63,4.49,8.11,-10.11,1.85,-23.45,,0.08%
000104,000104,华宸未来稳健添利债券A,华宸未来稳健添利债券A,债券型-混合一级,王斌/ 王子源,华宸未来基金,1.279,1.545,-0.01,0.04,0.51,0.14,1.27,2.82,8.56,11.72,0.15,63.51,2.8052,0.08%
000107,000107,富国稳健增强债券A/B,富国稳健增强债券A/B,债券型-混合二级,俞晓斌,富国基金,1.286,1.711,0.0,0.63,-0.92,-0.08,2.31,4.13,3.23,7.89,-0.31,88.98,4.4679,0.08%
000109,000109,富国稳健增强债券C,富国稳健增强债券C,债券型-混合二级,俞晓斌,富国基金,1.242,1.647,0.0,0.65,-0.96,-0.16,2.14,3.67,2.42,6.55,-0.4,79.86,4.1073,0.00%
000110,000110,金鹰元安混合A,金鹰元安混合A,混合型-偏债,王怀震/ 杨晓斌,金鹰基金,1.3677,1.8973,-0.07,1.09,-3.37,1.23,3.94,5.06,-3.07,-2.64,0.63,89.45,5.6629,0.08%
000117,000117,广发轮动配置混合,广发轮动配置混合,混合型-偏股,吴兴武,广发基金,2.013,2.013,-0.1,3.23,-1.08,7.02,1.82,1.72,-19.61,-23.11,3.66,101.3,3.5494,0.15%
000118,000118,广发聚鑫债券A,广发聚鑫债券A,债券型-混合二级,张芊,广发基金,1.5448,2.334,-0.11,1.09,-1.64,1.75,3.09,6.31,5.1,10.28,1.27,169.8,6.6115,0.08%
000119,000119,广发聚鑫债券C,广发聚鑫债券C,债券型-混合二级,张芊,广发基金,1.5345,2.2782,-0.1,1.09,-1.68,1.66,2.88,5.92,4.3,9.0,1.15,159.92,6.2232,0.00%
000120,000120,中银美丽中国混合,中银美丽中国混合,混合型-偏股,严菲,中银基金,2.063,2.098,-0.39,3.82,-7.45,-1.29,-5.84,-0.43,-15.31,-15.0,-3.91,113.37,0.7816,0.15%
000121,000121,华夏永福混合A,华夏永福混合A,混合型-偏债,何家琪,华夏基金,2.443,2.443,-0.33,2.3,-1.45,0.99,3.43,9.6,2.09,3.08,0.45,144.3,10.3433,0.08%
000122,000122,汇添富实业债债券A,汇添富实业债债券A,债券型-混合一级,胡奕/ 吴江宏/ 徐一恒,汇添富基金,1.457,1.731,-0.22,0.32,-1.29,0.55,7.44,7.88,12.42,15.36,1.22,86.02,8.2065,0.10%
000123,000123,汇添富实业债债券C,汇添富实业债债券C,债券型-混合一级,胡奕/ 吴江宏/ 徐一恒,汇添富基金,1.3817,1.6557,-0.22,0.32,-1.33,0.45,7.22,7.45,11.52,14.0,1.1,76.93,7.7769,0.00%
000124,000124,华宝服务优选混合,华宝服务优选混合,混合型-偏股,蔡目荣,华宝基金,3.517,3.817,0.09,3.35,-3.88,-0.68,2.63,18.14,-6.96,7.69,-3.3,283.73,20.5278,0.15%
000126,000126,招商安润灵活配置混合A,招商安润灵活配置混合A,混合型-灵活,任琳娜,招商基金,1.7817,2.1257,-0.54,6.68,-16.94,-7.62,-14.57,-11.2,-38.7,-43.16,-8.54,139.46,-9.4987,0.15%
000127,000127,农银行业领先混合,农银行业领先混合,混合型-偏股,张峰,农银汇理基金,2.4248,2.8193,0.39,2.25,-0.35,-0.05,-2.79,-3.37,-11.41,-17.68,-3.27,184.61,-2.595,0.15%
000128,000128,大成景安短融债券A,大成景安短融债券A,债券型-中短债,万晓慧/ 曾婷婷,大成基金,1.3084,1.5124,0.0,0.02,0.54,0.44,1.27,2.25,5.58,7.4,0.48,54.24,2.2427,0.00%
000129,000129,大成景安短融债券B,大成景安短融债券B,债券型-中短债,万晓慧/ 曾婷婷,大成基金,1.3533,1.5633,0.0,0.02,0.56,0.51,1.42,2.55,6.18,8.33,0.56,59.77,2.5383,0.00%
000130,000130,大成景兴信用债债券A,大成景兴信用债债券A,债券型-混合一级,孙丹,大成基金,1.6302,1.9302,-0.04,0.14,0.31,0.69,2.92,4.83,9.17,12.17,0.75,106.62,4.944,0.08%
000131,000131,大成景兴信用债债券C,大成景兴信用债债券C,债券型-混合一级,孙丹,大成基金,1.555,1.855,-0.04,0.13,0.27,0.58,2.71,4.47,8.37,10.91,0.63,97.67,4.5941,0.00%
000136,000136,民生加银策略精选混合A,民生加银策略精选混合A,混合型-灵活,孙伟,民生加银基金,3.547,3.908,0.03,3.77,-2.88,1.49,5.1,5.07,-13.74,-11.88,-1.06,312.98,6.7088,0.15%
000139,000139,富国国有企业债债券A/B,富国国有企业债债券A/B,债券型-长债,张波,富国基金,1.004,1.4775,0.0,0.03,0.41,0.39,1.21,2.22,5.64,8.15,0.43,60.22,2.2195,0.08%
000141,000141,富国国有企业债债券C,富国国有企业债债券C,债券型-长债,张波,富国基金,1.0067,1.4432,0.0,0.03,0.4,0.37,1.18,2.16,5.52,7.96,0.41,55.0,2.15,0.00%
000142,000142,融通增强收益债券A,融通增强收益债券A,债券型-混合二级,刘安坤/ 王超,融通基金,1.1459,1.7081,0.2,0.81,0.8,1.12,1.72,2.84,7.63,11.72,1.0,72.59,3.0764,0.08%
000143,000143,鹏华双债加利债券A,鹏华双债加利债券A,债券型-混合二级,王石千,鹏华基金,1.792,1.984,-0.21,2.21,-1.59,1.88,6.76,11.15,9.66,11.45,2.15,104.82,12.0,0.08%
000147,000147,易方达高等级信用债债券A,易方达高等级信用债债券A,债券型-长债,胡剑/ 王丹,易方达基金,1.2151,1.5371,-0.02,-0.04,0.71,0.31,1.98,4.03,10.45,7.25,0.26,60.5,4.0058,0.08%
000148,000148,易方达高等级信用债债券C,易方达高等级信用债债券C,债券型-长债,胡剑/ 王丹,易方达基金,1.1952,1.5032,-0.03,-0.05,0.67,0.2,1.78,3.62,9.56,5.96,0.14,56.15,3.5881,0.00%
000149,000149,华安双债添利债券A,华安双债添利债券A,债券型-混合一级,贺涛/ 朱才敏/ 周益鸣,华安基金,1.3518,1.7368,-0.08,0.04,0.27,-0.28,1.98,2.96,5.63,7.2,-0.13,83.87,3.0335,0.08%
000150,000150,华安双债添利债券C,华安双债添利债券C,债券型-混合一级,贺涛/ 朱才敏/ 周益鸣,华安基金,1.3002,1.6832,-0.08,0.04,0.25,-0.36,1.81,2.6,4.89,6.07,-0.22,77.22,2.669,0.00%
000152,000152,大成景旭纯债债券A,大成景旭纯债债券A,债券型-长债,方锐/ 范昕,大成基金,1.0973,1.6016,-0.01,0.1,0.93,0.25,2.3,4.08,8.6,11.03,0.34,72.41,4.0823,0.08%
000153,000153,大成景旭纯债债券C,大成景旭纯债债券C,债券型-长债,方锐/ 范昕,大成基金,1.0919,1.5509,-0.01,0.1,0.9,0.15,2.11,3.64,7.7,9.69,0.22,65.05,3.6412,0.00%
000165,000165,国投瑞银策略精选混合,国投瑞银策略精选混合,混合型-灵活,吉莉,国投瑞银基金,1.6562,3.4702,-0.28,2.84,-6.8,-1.48,-3.26,-5.28,-8.33,-11.01,-3.03,335.75,-2.7283,0.15%
000166,000166,中海信息产业混合A,中海信息产业混合A,混合型-偏股,姚晨曦,中海基金,0.9846,1.4471,-1.71,8.81,-15.81,-7.53,2.3,16.12,-25.83,-13.63,-5.34,41.27,19.201,0.15%
000167,000167,广发聚优灵活配置混合A,广发聚优灵活配置混合A,混合型-灵活,李耀柱/ 王丽媛,广发基金,1.922,2.132,0.21,3.06,-5.6,2.02,-6.83,-7.68,-14.5,-12.36,-1.28,125.61,-5.6456,0.15%
000171,000171,易方达裕丰回报债券A,易方达裕丰回报债券A,债券型-混合二级,张清华/ 张雅君,易方达基金,1.82,2.287,-0.05,0.28,-0.11,0.05,2.71,5.39,7.88,9.97,-0.38,131.76,5.5684,0.10%
000172,000172,华泰柏瑞量化增强混合A,华泰柏瑞量化增强混合A,混合型-偏股,盛豪/ 徐帅宇,华泰柏瑞基金,1.321,2.583,0.15,3.28,-5.91,-0.53,-2.0,6.19,-3.51,-3.25,-2.87,202.61,7.5733,0.12%
000173,000173,汇添富美丽30混合A,汇添富美丽30混合A,混合型-偏股,王栩,汇添富基金,2.407,2.659,0.29,5.71,-5.35,0.42,-2.63,-5.79,-18.46,-16.57,-0.78,168.96,-3.8354,0.15%
000174,000174,汇添富高息债债券A,汇添富高息债债券A,债券型-混合一级,李安/ 郑文旭,汇添富基金,1.7281,1.7631,-0.1,0.13,-0.02,0.24,1.75,2.41,6.61,8.14,0.55,77.23,2.3817,0.10%
000175,000175,汇添富高息债债券C,汇添富高息债债券C,债券型-混合一级,李安/ 郑文旭,汇添富基金,1.5985,1.6335,-0.11,0.12,-0.06,0.14,1.54,1.84,5.58,6.71,0.43,64.01,1.8153,0.00%
000176,000176,嘉实沪深300指数研究增强A,嘉实沪深300指数研究增强A,指数型-股票,刘斌/ 龙昌伦,嘉实基金,1.4225,1.4225,0.25,3.03,-5.71,-0.25,-2.85,3.27,-6.27,-11.9,-3.24,42.25,4.4343,0.10%
000179,000179,广发美国房地产指数人民币(QDII)A,广发美国房地产指数人民币(QDII)A,指数型-海外股票,曹世宇,广发基金,1.145,1.75,1.87,4.57,-4.26,-3.7,-7.93,7.6,17.78,-0.81,-5.32,91.76,,0.13%
000181,000181,景顺长城四季金利债券A,景顺长城四季金利债券A,债券型-混合二级,彭成军,景顺长城基金,1.237,1.612,-0.08,0.08,0.57,0.57,3.86,6.0,10.3,13.7,0.9,71.49,6.1803,0.08%
000182,000182,景顺长城四季金利债券C,景顺长城四季金利债券C,债券型-混合二级,彭成军,景顺长城基金,1.217,1.553,0.0,0.08,0.58,0.5,3.66,5.64,9.44,12.41,0.83,64.02,5.7341,0.00%
000184,000184,工银添福债券A,工银添福债券A,债券型-混合二级,郭雪松,工银瑞信基金,1.908,2.054,-0.05,0.47,-0.21,0.79,6.18,8.84,9.78,11.06,0.26,109.51,9.0286,0.08%
000185,000185,工银添福债券B,工银添福债券B,债券型-混合二级,郭雪松,工银瑞信基金,1.863,2.008,0.0,0.54,-0.21,0.76,6.03,8.57,9.14,10.04,0.22,104.5,8.7566,0.00%
000186,000186,华泰柏瑞季季红债券A,华泰柏瑞季季红债券A,债券型-混合一级,罗远航,华泰柏瑞基金,1.0759,1.5819,0.0,0.0,0.75,0.19,1.69,3.38,8.07,10.91,0.21,74.33,3.3615,0.08%
000187,000187,华泰柏瑞丰盛纯债债券A,华泰柏瑞丰盛纯债债券A,债券型-长债,何子建,华泰柏瑞基金,1.1586,1.6222,-0.01,0.0,1.28,0.24,2.11,3.04,7.68,10.9,0.25,75.47,3.0416,0.08%
000188,000188,华泰柏瑞丰盛纯债债券C,华泰柏瑞丰盛纯债债券C,债券型-长债,何子建,华泰柏瑞基金,1.1469,1.5686,-0.01,-0.02,1.24,0.15,1.9,2.63,6.81,9.58,0.14,67.98,2.6309,0.00%
000189,000189,易方达丰华债券A,易方达丰华债券A,债券型-混合二级,李中阳/ 王成,易方达基金,1.31,1.524,-0.18,0.59,-1.15,-0.21,2.42,2.73,4.99,5.8,-0.16,55.17,3.174,0.08%
000190,000190,中银新回报灵活配置混合A,中银新回报灵活配置混合A,混合型-灵活,李建,中银基金,1.745,2.065,0.06,0.17,0.58,0.0,1.28,3.5,5.82,4.18,-0.17,122.67,3.4994,0.12%
000191,000191,富国信用债债券A/B,富国信用债债券A/B,债券型-长债,黄纪亮/ 李金柳,富国基金,1.3181,1.6086,0.0,-0.01,0.74,0.16,1.71,3.06,7.76,10.8,0.24,74.93,3.041,0.08%
000192,000192,富国信用债债券C,富国信用债债券C,债券型-长债,黄纪亮/ 李金柳,富国基金,1.2858,1.5513,0.0,-0.01,0.7,0.06,1.5,2.65,6.9,9.49,0.13,66.68,2.6341,0.00%
000194,000194,银华信用四季红债券A,银华信用四季红债券A,债券型-长债,李丹/ 李翔宇/ 赵慧,银华基金,1.0845,1.6305,-0.01,-0.01,0.68,-0.08,1.51,2.85,7.08,9.79,-0.03,80.94,2.843,0.08%
000195,000195,工银成长收益混合A,工银成长收益混合A,混合型-灵活,张洋,工银瑞信基金,1.497,2.037,-0.07,2.67,-4.83,-1.64,-4.35,1.49,-1.45,2.25,-4.28,103.66,1.9061,0.12%
000196,000196,工银成长收益混合B,工银成长收益混合B,混合型-灵活,张洋,工银瑞信基金,1.417,1.891,-0.07,2.61,-4.9,-1.8,-4.64,0.85,-2.61,0.43,-4.45,89.07,1.2866,0.00%
000199,000199,国泰量化策略收益混合A,国泰量化策略收益混合A,混合型-偏股,高崇南/ 贺天元,国泰基金,1.3371,1.8374,0.22,3.76,-6.38,1.52,3.17,7.2,-1.66,-0.65,-0.55,86.58,8.584,0.12%
000200,000200,博时岁岁增利一年持有期债券A,博时岁岁增利一年持有期债券A,债券型-中短债,鲁邦旺,博时基金,1.2462,1.7616,-0.01,-0.02,0.74,0.06,1.81,2.75,7.71,11.32,0.15,80.47,2.7285,0.06%
000206,000206,易方达投资级信用债债券C,易方达投资级信用债债券C,债券型-长债,王晓晨,易方达基金,1.154,1.591,0.0,0.02,0.41,0.1,0.89,2.02,7.22,10.16,0.06,70.16,2.0138,0.00%
000207,000207,建信双债增强债券A,建信双债增强债券A,债券型-混合一级,彭紫云/ 薛玲/ 张溢麟,建信基金,1.192,1.454,-0.25,0.68,-2.38,-0.17,0.5,1.4,4.11,5.9,0.25,46.84,1.3962,0.08%
000208,000208,建信双债增强债券C,建信双债增强债券C,债券型-混合一级,彭紫云/ 薛玲/ 张溢麟,建信基金,1.185,1.396,-0.25,0.68,-2.39,-0.25,0.59,1.26,3.5,4.92,0.08,40.72,1.2577,0.00%
000209,000209,中信保诚新兴产业混合A,中信保诚新兴产业混合A,混合型-偏股,孙浩中,中信保诚基金,1.8264,1.8264,-0.47,6.38,-13.26,-10.17,-14.53,-10.62,-42.01,-50.13,-11.72,82.64,-8.1473,0.15%
000214,000214,广发成长优选混合,广发成长优选混合,混合型-灵活,姚秋,广发基金,1.32,1.95,0.0,2.72,-5.44,2.01,0.92,9.36,-5.23,2.02,-1.71,100.79,10.8312,0.15%
000215,000215,广发趋势优选灵活配置混合A,广发趋势优选灵活配置混合A,混合型-灵活,谭昌杰,广发基金,1.6602,2.0592,-0.05,0.49,-0.52,0.39,1.66,1.8,-1.39,2.05,-0.29,114.53,2.1222,0.15%
000216,000216,华安黄金易ETF联接A,华安黄金易ETF联接A,指数型-其他,许之彦,华安基金,2.6579,2.6579,0.06,6.15,9.83,19.69,25.4,34.04,64.8,82.17,23.39,165.79,33.2815,0.06%
000217,000217,华安黄金易ETF联接C,华安黄金易ETF联接C,指数型-其他,许之彦,华安基金,2.5965,2.5965,0.06,6.14,9.79,19.59,25.19,33.58,63.65,80.27,23.27,159.65,32.8201,0.00%
000218,000218,国泰黄金ETF联接A,国泰黄金ETF联接A,指数型-其他,艾小军,国泰基金,2.7645,2.7645,0.05,6.12,9.8,19.65,25.55,34.87,66.5,84.51,23.42,176.45,34.1079,0.07%
000219,000219,博时裕益混合,博时裕益混合,混合型-灵活,王冠桥,博时基金,2.372,2.624,0.08,3.85,-2.35,3.4,6.22,14.04,11.0,-1.45,2.46,191.6,14.6448,0.15%
000220,000220,富国医疗保健行业混合A,富国医疗保健行业混合A,混合型-偏股,孙笑悦,富国基金,3.099,3.099,0.19,7.16,6.35,15.16,0.58,8.13,-12.56,-18.75,10.8,209.9,11.1948,0.15%
