序号,姓名,所属公司,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
14,包佳敏,湘财基金,湘财长弘灵活配置混合A,448,3.71,7.38
14,包佳敏,湘财基金,湘财长弘灵活配置混合C,448,3.71,7.38
14,包佳敏,湘财基金,湘财研究精选一年持有期混合A,448,3.71,7.38
14,包佳敏,湘财基金,湘财研究精选一年持有期混合C,448,3.71,7.38
14,包佳敏,湘财基金,湘财鑫享债券A,448,3.71,7.38
14,包佳敏,湘财基金,湘财鑫享债券C,448,3.71,7.38
14,包佳敏,湘财基金,湘财均衡甄选混合A,448,3.71,7.38
14,包佳敏,湘财基金,湘财均衡甄选混合C,448,3.71,7.38
14,包佳敏,湘财基金,湘财新能源量化选股混合A,448,3.71,7.38
14,包佳敏,湘财基金,湘财新能源量化选股混合C,448,3.71,7.38
14,包佳敏,湘财基金,湘财红利量化选股混合A,448,3.71,7.38
14,包佳敏,湘财基金,湘财红利量化选股混合C,448,3.71,7.38
15,毕建强,前海开源基金,前海开源沪港深裕鑫A,808,19.11,29.86
15,毕建强,前海开源基金,前海开源沪港深裕鑫C,808,19.11,29.86
16,毕凯,贝莱德基金管理,贝莱德卓越远航混合A,2023,1.24,15.21
16,毕凯,贝莱德基金管理,贝莱德卓越远航混合C,2023,1.24,15.21
17,包恺,永赢基金,永赢消费鑫选6个月持有混合A,301,1.11,16.24
17,包恺,永赢基金,永赢消费鑫选6个月持有混合C,301,1.11,16.24
17,包恺,永赢基金,永赢消费龙头智选混合发起A,301,1.11,16.24
17,包恺,永赢基金,永赢消费龙头智选混合发起C,301,1.11,16.24
18,包丽华,易米基金,易米开鑫价值优选混合A,1028,1.69,12.45
18,包丽华,易米基金,易米开鑫价值优选混合C,1028,1.69,12.45
18,包丽华,易米基金,易米鑫选品质混合A,1028,1.69,12.45
18,包丽华,易米基金,易米鑫选品质混合C,1028,1.69,12.45
19,白鹏,中邮基金,中邮低碳配置混合,1372,5.91,-7.17
19,白鹏,中邮基金,中邮未来新蓝筹混合,1372,5.91,-7.17
19,白鹏,中邮基金,中邮能源革新混合型发起A,1372,5.91,-7.17
19,白鹏,中邮基金,中邮能源革新混合型发起C,1372,5.91,-7.17
20,白若冰,中信建投基金,中信建投明阳智能新能源REIT,325,12.38,
21,毕天宇,富国基金,富国高端制造行业股票A,7121,32.9,198.89
21,毕天宇,富国基金,富国龙头优势混合A,7121,32.9,198.89
21,毕天宇,富国基金,富国均衡成长三年持有期混合A,7121,32.9,198.89
21,毕天宇,富国基金,富国均衡成长三年持有期混合C,7121,32.9,198.89
21,毕天宇,富国基金,富国高端制造行业股票C,7121,32.9,198.89
21,毕天宇,富国基金,富国龙头优势混合C,7121,32.9,198.89
21,毕天宇,富国基金,富国天博创新主题混合,7121,32.9,198.89
22,鲍武斌,银河基金,银河睿达灵活配置混合A,1165,10.61,10.53
22,鲍武斌,银河基金,银河睿达灵活配置混合C,1165,10.61,10.53
22,鲍武斌,银河基金,银河新动能混合A,1165,10.61,10.53
22,鲍武斌,银河基金,银河新动能混合C,1165,10.61,10.53
22,鲍武斌,银河基金,银河智造混合C,1165,10.61,10.53
22,鲍武斌,银河基金,银河ESG主题混合发起式A,1165,10.61,10.53
22,鲍武斌,银河基金,银河ESG主题混合发起式C,1165,10.61,10.53
22,鲍武斌,银河基金,银河智造混合A,1165,10.61,10.53
22,鲍武斌,银河基金,银河鑫利混合I,1165,10.61,10.53
22,鲍武斌,银河基金,银河鑫利混合A,1165,10.61,10.53
22,鲍武斌,银河基金,银河鑫利混合C,1165,10.61,10.53
23,卜学欢,兴证全球基金,兴全祥泰定期开放债券,140,73.79,0.46
24,包斅文,财通资管,财通资管科技创新一年定开混合,1280,20.08,33.96
24,包斅文,财通资管,财通资管数字经济混合发起式A,1280,20.08,33.96
24,包斅文,财通资管,财通资管数字经济混合发起式C,1280,20.08,33.96
24,包斅文,财通资管,财通资管创新成长混合A,1280,20.08,33.96
24,包斅文,财通资管,财通资管创新成长混合C,1280,20.08,33.96
25,贲兴振,银华基金,银华混改红利灵活配置混合发起式A,4412,29.84,96.89
25,贲兴振,银华基金,银华行业轮动混合,4412,29.84,96.89
25,贲兴振,银华基金,银华汇盈一年持有期混合A,4412,29.84,96.89
25,贲兴振,银华基金,银华汇盈一年持有期混合C,4412,29.84,96.89
25,贲兴振,银华基金,银华稳健增长一年持有期混合,4412,29.84,96.89
25,贲兴振,银华基金,银华混改红利灵活配置混合发起式C,4412,29.84,96.89
25,贲兴振,银华基金,银华优质增长混合,4412,29.84,96.89
26,白玉,浙商基金,浙商大数据智选消费混合A,1412,4.95,-25.35
26,白玉,浙商基金,浙商智选经济动能混合A,1412,4.95,-25.35
26,白玉,浙商基金,浙商智选经济动能混合C,1412,4.95,-25.35
26,白玉,浙商基金,浙商大数据智选消费混合C,1412,4.95,-25.35
27,薄玉,华宝基金,华宝消费升级混合,1364,0.38,-37.66
28,柏杨,大成基金,大成港股精选混合(QDII)A,1481,6.39,22.38
28,柏杨,大成基金,大成港股精选混合(QDII)C,1481,6.39,22.38
28,柏杨,大成基金,大成中国优势混合(QDII)A,1481,6.39,22.38
28,柏杨,大成基金,大成中国优势混合(QDII)C,1481,6.39,22.38
28,柏杨,大成基金,大成港股通机遇混合A,1481,6.39,22.38
28,柏杨,大成基金,大成港股通机遇混合C,1481,6.39,22.38
29,白严,浙商证券资管,浙商汇金聚利一年定开债A,719,87.58,8.24
29,白严,浙商证券资管,浙商汇金聚利一年定开债C,719,87.58,8.24
29,白严,浙商证券资管,浙商汇金聚盈中短债A,719,87.58,8.24
29,白严,浙商证券资管,浙商汇金聚盈中短债C,719,87.58,8.24
29,白严,浙商证券资管,浙商汇金聚泓两年定开债A,719,87.58,8.24
29,白严,浙商证券资管,浙商汇金聚泓两年定开债C,719,87.58,8.24
29,白严,浙商证券资管,浙商汇金月享30天滚动持有中短债A,719,87.58,8.24
29,白严,浙商证券资管,浙商汇金月享30天滚动持有中短债C,719,87.58,8.24
29,白严,浙商证券资管,浙商汇金金算盘货币,719,87.58,8.24
29,白严,浙商证券资管,浙商汇金聚兴一年定开债券发起式,719,87.58,8.24
29,白严,浙商证券资管,浙商汇金中证同业存单AAA指数7天持有,719,87.58,8.24
29,白严,浙商证券资管,浙商汇金聚利一年定开债D,719,87.58,8.24
30,宝音,东财基金,东财瑞利债券A,171,89.73,2.54
30,宝音,东财基金,东财瑞利债券C,171,89.73,2.54
31,鲍宇晨,南方基金,南方周期优选混合发起A,249,0.23,-1.42
31,鲍宇晨,南方基金,南方周期优选混合发起C,249,0.23,-1.42
32,卞正,汇添富基金,汇添富民营新动力股票,1190,6.41,39.8
32,卞正,汇添富基金,汇添富均衡精选六个月持有混合A,1190,6.41,39.8
32,卞正,汇添富基金,汇添富均衡精选六个月持有混合C,1190,6.41,39.8
32,卞正,汇添富基金,汇添富全球汽车产业升级混合(QDII)人民币A,1190,6.41,39.8
32,卞正,汇添富基金,汇添富全球汽车产业升级混合(QDII)美元现汇,1190,6.41,39.8
32,卞正,汇添富基金,汇添富全球汽车产业升级混合(QDII)美元现钞,1190,6.41,39.8
32,卞正,汇添富基金,汇添富全球汽车产业升级混合(QDII)人民币C,1190,6.41,39.8
32,卞正,汇添富基金,汇添富均衡潜力优选混合A,1190,6.41,39.8
32,卞正,汇添富基金,汇添富均衡潜力优选混合C,1190,6.41,39.8
33,卜忠林,申万菱信基金,申万菱信智能驱动股票A,222,3.08,1.66
33,卜忠林,申万菱信基金,申万菱信智能驱动股票C,222,3.08,1.66
34,毕子男,国新国证基金,国新国证新利混合A,1024,0.82,1.02
34,毕子男,国新国证基金,国新国证融泽6个月定开混合A,1024,0.82,1.02
34,毕子男,国新国证基金,国新国证融泽6个月定开混合C,1024,0.82,1.02
34,毕子男,国新国证基金,国新国证新利混合C,1024,0.82,1.02
35,包正钰,易方达基金,易方达红利混合A,985,39.62,14.76
35,包正钰,易方达基金,易方达红利混合C,985,39.62,14.76
35,包正钰,易方达基金,易方达科鑫量化选股股票发起式A,985,39.62,14.76
35,包正钰,易方达基金,易方达科鑫量化选股股票发起式C,985,39.62,14.76
35,包正钰,易方达基金,易方达价值精选混合,985,39.62,14.76
36,陈昂,华夏基金,华夏特变电工新能源REIT,979,11.5,
37,蔡宾,长盛基金,长盛鑫盛稳健一年持有A,5774,1.1,8.59
37,蔡宾,长盛基金,长盛鑫盛稳健一年持有C,5774,1.1,8.59
37,蔡宾,长盛基金,长盛安睿一年持有混合A,5774,1.1,8.59
37,蔡宾,长盛基金,长盛安睿一年持有混合C,5774,1.1,8.59
38,蔡滨,博时基金,博时产业新动力混合A,3804,64.9,153.83
38,蔡滨,博时基金,博时外延增长混合A,3804,64.9,153.83
38,蔡滨,博时基金,博时产业新动力混合C,3804,64.9,153.83
38,蔡滨,博时基金,博时荣享回报混合A,3804,64.9,153.83
38,蔡滨,博时基金,博时荣享回报混合C,3804,64.9,153.83
38,蔡滨,博时基金,博时研究精选持有期混合A,3804,64.9,153.83
38,蔡滨,博时基金,博时研究精选持有期混合C,3804,64.9,153.83
38,蔡滨,博时基金,博时产业慧选混合A,3804,64.9,153.83
38,蔡滨,博时基金,博时产业慧选混合C,3804,64.9,153.83
38,蔡滨,博时基金,博时产业优选混合A,3804,64.9,153.83
38,蔡滨,博时基金,博时产业优选混合C,3804,64.9,153.83
38,蔡滨,博时基金,博时优质鑫选一年持有期混合A,3804,64.9,153.83
38,蔡滨,博时基金,博时优质鑫选一年持有期混合C,3804,64.9,153.83
38,蔡滨,博时基金,博时外延增长混合C,3804,64.9,153.83
39,陈博,上银基金,上银鑫达灵活配置混合A,1939,5.44,44.0
39,陈博,上银基金,上银未来生活灵活配置混合A,1939,5.44,44.0
39,陈博,上银基金,上银慧尚6个月持有期混合A,1939,5.44,44.0
39,陈博,上银基金,上银慧尚6个月持有期混合C,1939,5.44,44.0
39,陈博,上银基金,上银价值增长3个月持有期混合A,1939,5.44,44.0
39,陈博,上银基金,上银价值增长3个月持有期混合C,1939,5.44,44.0
39,陈博,上银基金,上银高质量优选9个月持有混合A,1939,5.44,44.0
39,陈博,上银基金,上银高质量优选9个月持有混合C,1939,5.44,44.0
39,陈博,上银基金,上银未来生活灵活配置混合C,1939,5.44,44.0
39,陈博,上银基金,上银鑫达灵活配置混合C,1939,5.44,44.0
39,陈博,上银基金,上银国企红利混合发起式A,1939,5.44,44.0
39,陈博,上银基金,上银国企红利混合发起式C,1939,5.44,44.0
40,程冰,中泰证券(上海)资管,中泰安益利率债A,637,47.74,9.25
40,程冰,中泰证券(上海)资管,中泰安益利率债C,637,47.74,9.25
40,程冰,中泰证券(上海)资管,中泰双利债券A,637,47.74,9.25
40,程冰,中泰证券(上海)资管,中泰双利债券C,637,47.74,9.25
40,程冰,中泰证券(上海)资管,中泰安悦6个月定开债A,637,47.74,9.25
40,程冰,中泰证券(上海)资管,中泰安悦6个月定开债C,637,47.74,9.25
40,程冰,中泰证券(上海)资管,中泰安弘债券A,637,47.74,9.25
40,程冰,中泰证券(上海)资管,中泰安弘债券C,637,47.74,9.25
40,程冰,中泰证券(上海)资管,中泰双鑫6个月持有债券A,637,47.74,9.25
40,程冰,中泰证券(上海)资管,中泰双鑫6个月持有债券C,637,47.74,9.25
41,陈保国,西部利得基金,西部利得景瑞灵活配置混合C,1927,12.58,92.36
41,陈保国,西部利得基金,西部利得碳中和混合发起A,1927,12.58,92.36
41,陈保国,西部利得基金,西部利得碳中和混合发起C,1927,12.58,92.36
41,陈保国,西部利得基金,西部利得绿色能源混合A,1927,12.58,92.36
41,陈保国,西部利得基金,西部利得绿色能源混合C,1927,12.58,92.36
41,陈保国,西部利得基金,西部利得汇鑫6个月持有期混合A,1927,12.58,92.36
41,陈保国,西部利得基金,西部利得汇鑫6个月持有期混合C,1927,12.58,92.36
41,陈保国,西部利得基金,西部利得景瑞灵活配置混合A,1927,12.58,92.36
42,崔博俭,建信基金,建信现金添益货币A,20,314.59,0.16
42,崔博俭,建信基金,建信现金添益货币C,20,314.59,0.16
42,崔博俭,建信基金,建信鑫源90天持有期债券A,20,314.59,0.16
42,崔博俭,建信基金,建信鑫源90天持有期债券C,20,314.59,0.16
42,崔博俭,建信基金,建信现金添益货币H,20,314.59,0.16
43,陈伯祯,银河基金,银河转型混合C,2068,0.0,-25.25
44,陈臣,圆信永丰基金,圆信永丰双利A,1834,23.27,15.8
44,陈臣,圆信永丰基金,圆信永丰双利C,1834,23.27,15.8
44,陈臣,圆信永丰基金,圆信永丰优加生活,1834,23.27,15.8
44,陈臣,圆信永丰基金,圆信永丰致优混合A,1834,23.27,15.8
44,陈臣,圆信永丰基金,圆信永丰致优混合C,1834,23.27,15.8
44,陈臣,圆信永丰基金,圆信永丰优选价值A,1834,23.27,15.8
44,陈臣,圆信永丰基金,圆信永丰优选价值C,1834,23.27,15.8
44,陈臣,圆信永丰基金,圆信永丰瑞盈债券A,1834,23.27,15.8
44,陈臣,圆信永丰基金,圆信永丰瑞盈债券C,1834,23.27,15.8
44,陈臣,圆信永丰基金,圆信永丰瑞盈债券E,1834,23.27,15.8
45,陈聪,兴证全球基金,兴全沪港深两年持有混合,922,13.46,7.92
46,陈超,红土创新基金,红土盐田港REIT,697,20.87,
47,陈晨,申万菱信基金,申万菱信全球新能源股票型发起式(QDII)A,557,0.35,11.65
47,陈晨,申万菱信基金,申万菱信全球新能源股票型发起式(QDII)C,557,0.35,11.65
48,曹昶,嘉实基金,嘉实中国电建清洁能源REIT,437,10.22,
49,陈晨,浦银安盛基金,浦银安盛价值精选混合A,229,1.72,-6.94
49,陈晨,浦银安盛基金,浦银安盛价值精选混合C,229,1.72,-6.94
50,蔡丞丰,嘉实基金,嘉实品质发现混合A,2459,7.08,-0.97
50,蔡丞丰,嘉实基金,嘉实品质发现混合C,2459,7.08,-0.97
50,蔡丞丰,嘉实基金,嘉实ESG可持续投资混合A,2459,7.08,-0.97
50,蔡丞丰,嘉实基金,嘉实ESG可持续投资混合C,2459,7.08,-0.97
50,蔡丞丰,嘉实基金,嘉实绿色主题股票发起式A,2459,7.08,-0.97
50,蔡丞丰,嘉实基金,嘉实绿色主题股票发起式C,2459,7.08,-0.97
51,蔡春红,新华基金,新华鑫动力灵活配置混合A,3596,12.8,37.51
51,蔡春红,新华基金,新华鑫动力灵活配置混合C,3596,12.8,37.51
51,蔡春红,新华基金,新华钻石品质企业混合,3596,12.8,37.51
51,蔡春红,新华基金,新华优选消费混合,3596,12.8,37.51
52,曹春林,创金合信基金,创金合信新能源汽车股票A,2880,12.95,45.0
52,曹春林,创金合信基金,创金合信新能源汽车股票C,2880,12.95,45.0
53,崔宸龙,前海开源基金,前海开源新经济混合A,1771,143.05,141.84
53,崔宸龙,前海开源基金,前海开源沪港深智慧生活混合,1771,143.05,141.84
53,崔宸龙,前海开源基金,前海开源沪港深新机遇混合A,1771,143.05,141.84
53,崔宸龙,前海开源基金,前海开源公用事业股票,1771,143.05,141.84
53,崔宸龙,前海开源基金,前海开源沪港深非周期股票A,1771,143.05,141.84
53,崔宸龙,前海开源基金,前海开源沪港深非周期股票C,1771,143.05,141.84
53,崔宸龙,前海开源基金,前海开源新兴产业混合A,1771,143.05,141.84
53,崔宸龙,前海开源基金,前海开源新经济混合C,1771,143.05,141.84
53,崔宸龙,前海开源基金,前海开源新兴产业混合C,1771,143.05,141.84
53,崔宸龙,前海开源基金,前海开源沪港深新机遇混合C,1771,143.05,141.84
53,崔宸龙,前海开源基金,前海开源研究驱动混合A,1771,143.05,141.84
53,崔宸龙,前海开源基金,前海开源研究驱动混合C,1771,143.05,141.84
54,池陈森,安信基金,安信医药健康股票A,1595,10.86,21.12
54,池陈森,安信基金,安信医药健康股票C,1595,10.86,21.12
55,蔡丹,宝盈基金,宝盈祥瑞混合A,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈新锐混合A,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈祥颐定期开放混合A,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈祥颐定期开放混合C,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈祥瑞混合C,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈新锐混合C,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈中证A100指数增强C,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈祥裕增强回报混合A,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈祥裕增强回报混合C,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈祥和9个月定开混合A,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈祥和9个月定开混合C,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈祥庆9个月持有混合A,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈祥庆9个月持有混合C,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈中证沪港深科技龙头指数发起A,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈中证沪港深科技龙头指数发起C,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈国证证券龙头指数发起A,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈国证证券龙头指数发起C,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈纳斯达克100指数发起(QDII)A人民币,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈纳斯达克100指数发起(QDII)C人民币,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈纳斯达克100指数发起(QDII)A美元现汇,2851,17.09,65.98
55,蔡丹,宝盈基金,宝盈纳斯达克100指数发起(QDII)C美元现汇,2851,17.09,65.98
