fund_code,fund_name,fund_type,manager_name,company,current_fund,experience_days,total_asset,best_return
000067,民生加银转债优选A,债券型-混合二级,关键,民生加银基金,民生加银转债优选A,1554,203.23,10.8
000068,民生加银转债优选C,债券型-混合二级,关键,民生加银基金,民生加银转债优选C,1554,203.23,10.8
000069,国投瑞银中高等级债券A,债券型-混合一级,宋璐,国投瑞银基金,国投瑞银中高等级债券A,3226,208.32,42.99
000070,国投瑞银中高等级债券C,债券型-混合一级,宋璐,国投瑞银基金,国投瑞银中高等级债券C,3226,208.32,42.99
000071,华夏恒生ETF联接A,指数型-海外股票,徐猛,华夏基金,华夏恒生ETF联接A,4431,2413.85,38.82
000072,华安稳健回报混合A,混合型-灵活,朱才敏,华安基金,华安稳健回报混合A,3840,24.5,60.22
000073,摩根成长动力混合A,混合型-灵活,杨景喻/ 叶敏,摩根资产管理,摩根成长动力混合A,3583/ 1034,19.97/ 11.94,32.86/ 14.29
000074,工银信用纯债一年定开债A,债券型-长债,段玮/ 何秀红,工银瑞信基金,工银信用纯债一年定开债A,175/ 5219,9.46/ 82.41,1.61/ 128.38
000075,华夏恒生ETF联接现汇,指数型-海外股票,徐猛,华夏基金,华夏恒生ETF联接现汇,4431,2413.85,38.82
000076,华夏恒生ETF联接现钞,指数型-海外股票,徐猛,华夏基金,华夏恒生ETF联接现钞,4431,2413.85,38.82
000077,工银信用纯债一年定开债C,债券型-长债,段玮/ 何秀红,工银瑞信基金,工银信用纯债一年定开债C,175/ 5219,9.46/ 82.41,1.61/ 128.38
000078,工银信用纯债三个月定开债A,债券型-长债,谭幸/ 周晖,工银瑞信基金,工银信用纯债三个月定开债A,1216/ 1530,23.56/ 37.77,12.32/ 20.59
000079,工银信用纯债三个月定开债C,债券型-长债,谭幸/ 周晖,工银瑞信基金,工银信用纯债三个月定开债C,1216/ 1530,23.56/ 37.77,12.32/ 20.59
000080,天治可转债增强债券A,债券型-混合二级,李申,天治基金,天治可转债增强债券A,1502,4.61,1.27
000081,天治可转债增强债券C,债券型-混合二级,李申,天治基金,天治可转债增强债券C,1502,4.61,1.27
000082,嘉实研究阿尔法股票A,股票型,肖觅/ 张露,嘉实基金,嘉实研究阿尔法股票A,3070/ 2845,50.41/ 8.12,126.8/ 66.44
000083,汇添富消费行业混合,混合型-偏股,胡昕炜,汇添富基金,汇添富消费行业混合,3335,308.28,126.46
000084,博时安盈债券A,债券型-中短债,陈黎,博时基金,博时安盈债券A,2604,303.47,30.2
000085,博时安盈债券C,债券型-中短债,陈黎,博时基金,博时安盈债券C,2604,303.47,30.2
000086,南方稳利1年持有期债券A,债券型-长债,王景明,南方基金,南方稳利1年持有期债券A,1368,154.76,15.3
000089,民生加银高等级信用债C,债券型-中短债,李文君,民生加银基金,民生加银高等级信用债C,3979,393.05,67.47
000090,民生加银高等级信用债A,债券型-中短债,李文君,民生加银基金,民生加银高等级信用债A,3979,393.05,67.47
000103,国泰中国企业境外高收益债,QDII-纯债,朱丹,国泰基金,国泰中国企业境外高收益债,1662,30.67,64.15
000104,华宸未来稳健添利债券A,债券型-混合一级,王斌/ 王子源,华宸未来基金,华宸未来稳健添利债券A,938/ 123,3.65,9.76/ 0.36
000105,建信安心回报债券A,债券型-长债,姜月/ 牛兴华,建信基金,建信安心回报债券A,986/ 3828,203.09/ 22.05,38.38/ 30.86
000106,建信安心回报债券C,债券型-长债,姜月/ 牛兴华,建信基金,建信安心回报债券C,986/ 3828,203.09/ 22.05,38.38/ 30.86
000107,富国稳健增强债券A/B,债券型-混合二级,俞晓斌,富国基金,富国稳健增强债券A/B,3069,344.23,47.75
000109,富国稳健增强债券C,债券型-混合二级,俞晓斌,富国基金,富国稳健增强债券C,3069,344.23,47.75
000110,金鹰元安混合A,混合型-偏债,王怀震/ 杨晓斌,金鹰基金,金鹰元安混合A,1946/ 2610,81.15/ 12.37,10.27/ 93.99
000111,易方达纯债1年定开债A,债券型-长债,李一硕,易方达基金,易方达纯债1年定开债A,3971,553.19,77.8
000112,易方达纯债1年定开债C,债券型-长债,李一硕,易方达基金,易方达纯债1年定开债C,3971,553.19,77.8
000116,嘉实丰益纯债定期债券A,债券型-长债,程剑/ 张博洋,嘉实基金,嘉实丰益纯债定期债券A,895/ 170,166.76/ 108.67,16.37/ 1.87
000117,广发轮动配置混合,混合型-偏股,吴兴武,广发基金,广发轮动配置混合,3756,97.83,84.84
000118,广发聚鑫债券A,债券型-混合二级,张芊,广发基金,广发聚鑫债券A,4546,214.25,171.86
000119,广发聚鑫债券C,债券型-混合二级,张芊,广发基金,广发聚鑫债券C,4546,214.25,171.86
000120,中银美丽中国混合,混合型-偏股,严菲,中银基金,中银美丽中国混合,6445,3.55,67.47
000121,华夏永福混合A,混合型-偏债,何家琪,华夏基金,华夏永福混合A,3185,91.39,71.11
000122,汇添富实业债债券A,债券型-混合一级,胡奕/ 吴江宏/ 徐一恒,汇添富基金,汇添富实业债债券A,1790/ 3601/ 2091,104.99/ 240.89/ 130.86,9.95/ 54.65/ 23.69
000123,汇添富实业债债券C,债券型-混合一级,胡奕/ 吴江宏/ 徐一恒,汇添富基金,汇添富实业债债券C,1790/ 3601/ 2091,104.99/ 240.89/ 130.86,9.95/ 54.65/ 23.69
000124,华宝服务优选混合,混合型-偏股,蔡目荣,华宝基金,华宝服务优选混合,4661,18.21,258.72
000126,招商安润灵活配置混合A,混合型-灵活,任琳娜,招商基金,招商安润灵活配置混合A,2542,6.43,-50.61
000127,农银行业领先混合,混合型-偏股,张峰,农银汇理基金,农银行业领先混合,3539,64.57,122.54
000128,大成景安短融债券A,债券型-中短债,万晓慧/ 曾婷婷,大成基金,大成景安短融债券A,395/ 3067,65.41/ 940.71,2.73/ 5.82
000129,大成景安短融债券B,债券型-中短债,万晓慧/ 曾婷婷,大成基金,大成景安短融债券B,395/ 3067,65.41/ 940.71,2.73/ 5.82
000130,大成景兴信用债债券A,债券型-混合一级,孙丹,大成基金,大成景兴信用债债券A,2940,33.95,51.52
000131,大成景兴信用债债券C,债券型-混合一级,孙丹,大成基金,大成景兴信用债债券C,2940,33.95,51.52
000134,中信保诚嘉鸿债券A,债券型-长债,吴秋君,中信保诚基金,中信保诚嘉鸿债券A,585,72.88,8.89
000135,中信保诚嘉鸿债券C,债券型-长债,吴秋君,中信保诚基金,中信保诚嘉鸿债券C,585,72.88,8.89
000136,民生加银策略精选混合A,混合型-灵活,孙伟,民生加银基金,民生加银策略精选混合A,3976,56.63,342.42
000137,民生加银岁岁增利债券A,债券型-长债,李文君,民生加银基金,民生加银岁岁增利债券A,3979,393.05,67.47
000138,民生加银岁岁增利债券C,债券型-长债,李文君,民生加银基金,民生加银岁岁增利债券C,3979,393.05,67.47
000139,富国国有企业债债券A/B,债券型-长债,张波,富国基金,富国国有企业债债券A/B,2674,4098.52,19.97
000141,富国国有企业债债券C,债券型-长债,张波,富国基金,富国国有企业债债券C,2674,4098.52,19.97
000142,融通增强收益债券A,债券型-混合二级,刘安坤/ 王超,融通基金,融通增强收益债券A,2201/ 4168,43.24/ 146.19,50.02/ 79.94
000143,鹏华双债加利债券A,债券型-混合二级,王石千,鹏华基金,鹏华双债加利债券A,2616,216.04,74.05
000147,易方达高等级信用债债券A,债券型-长债,胡剑/ 王丹,易方达基金,易方达高等级信用债债券A,4835/ 331,643.03/ 30.98,180.79/ 3.08
000148,易方达高等级信用债债券C,债券型-长债,胡剑/ 王丹,易方达基金,易方达高等级信用债债券C,4835/ 331,643.03/ 30.98,180.79/ 3.08
000149,华安双债添利债券A,债券型-混合一级,贺涛/ 朱才敏/ 周益鸣,华安基金,华安双债添利债券A,6235/ 3840/ 2544,72.83/ 24.5/ 103.45,154.25/ 60.22/ 38.34
000150,华安双债添利债券C,债券型-混合一级,贺涛/ 朱才敏/ 周益鸣,华安基金,华安双债添利债券C,6235/ 3840/ 2544,72.83/ 24.5/ 103.45,154.25/ 60.22/ 38.34
000152,大成景旭纯债债券A,债券型-长债,方锐/ 范昕,大成基金,大成景旭纯债债券A,1722/ 243,107.26/ 61.74,18.6/ 2.58
000153,大成景旭纯债债券C,债券型-长债,方锐/ 范昕,大成基金,大成景旭纯债债券C,1722/ 243,107.26/ 61.74,18.6/ 2.58
000165,国投瑞银策略精选混合,混合型-灵活,吉莉,国投瑞银基金,国投瑞银策略精选混合,2910,28.47,88.77
000166,中海信息产业混合A,混合型-偏股,姚晨曦,中海基金,中海信息产业混合A,3692,16.86,-12.53
000167,广发聚优灵活配置混合A,混合型-灵活,李耀柱/ 王丽媛,广发基金,广发聚优灵活配置混合A,3448/ 1301,205.26/ 17.32,76.81/ 0.59
000171,易方达裕丰回报债券A,债券型-混合二级,张清华/ 张雅君,易方达基金,易方达裕丰回报债券A,4172/ 3964,403.37/ 207.36,247.8/ 54.88
000172,华泰柏瑞量化增强混合A,混合型-偏股,盛豪/ 徐帅宇,华泰柏瑞基金,华泰柏瑞量化增强混合A,3513/ 1025,32.96/ 17.61,85.13/ 2.67
000173,汇添富美丽30混合A,混合型-偏股,王栩,汇添富基金,汇添富美丽30混合A,5588,53.17,182.37
000174,汇添富高息债债券A,债券型-混合一级,李安/ 郑文旭,汇添富基金,汇添富高息债债券A,571/ 2429,16.43/ 24.84,8.2/ 8.09
000175,汇添富高息债债券C,债券型-混合一级,李安/ 郑文旭,汇添富基金,汇添富高息债债券C,571/ 2429,16.43/ 24.84,8.2/ 8.09
000176,嘉实沪深300指数研究增强A,指数型-股票,刘斌/ 龙昌伦,嘉实基金,嘉实沪深300指数研究增强A,5469/ 2895,56.59/ 27.98,66.64/ 60.69
000179,广发美国房地产指数人民币(QDII)A,指数型-海外股票,曹世宇,广发基金,广发美国房地产指数人民币(QDII)A,530,118.92,47.94
000180,广发美国房地产指数美元现汇(QDII)A,指数型-海外股票,曹世宇,广发基金,广发美国房地产指数美元现汇(QDII)A,530,118.92,47.94
000181,景顺长城四季金利债券A,债券型-混合二级,彭成军,景顺长城基金,景顺长城四季金利债券A,2204,755.96,24.56
000182,景顺长城四季金利债券C,债券型-混合二级,彭成军,景顺长城基金,景顺长城四季金利债券C,2204,755.96,24.56
000183,嘉实丰益策略定期债券,债券型-混合一级,轩璇,嘉实基金,嘉实丰益策略定期债券,2029,290.52,27.34
000184,工银添福债券A,债券型-混合二级,郭雪松,工银瑞信基金,工银添福债券A,2079,7.36,47.7
000185,工银添福债券B,债券型-混合二级,郭雪松,工银瑞信基金,工银添福债券B,2079,7.36,47.7
000186,华泰柏瑞季季红债券A,债券型-混合一级,罗远航,华泰柏瑞基金,华泰柏瑞季季红债券A,3821,166.99,43.82
000187,华泰柏瑞丰盛纯债债券A,债券型-长债,何子建,华泰柏瑞基金,华泰柏瑞丰盛纯债债券A,2261,233.03,27.62
000188,华泰柏瑞丰盛纯债债券C,债券型-长债,何子建,华泰柏瑞基金,华泰柏瑞丰盛纯债债券C,2261,233.03,27.62
000189,易方达丰华债券A,债券型-混合二级,李中阳/ 王成,易方达基金,易方达丰华债券A,1468/ 2006,30.39/ 48.73,7.95/ 34.98
000190,中银新回报灵活配置混合A,混合型-灵活,李建,中银基金,中银新回报灵活配置混合A,6487,31.3,123.95
000191,富国信用债债券A/B,债券型-长债,黄纪亮/ 李金柳,富国基金,富国信用债债券A/B,4472/ 1004,386.22/ 836.22,106.87/ 16.06
000192,富国信用债债券C,债券型-长债,黄纪亮/ 李金柳,富国基金,富国信用债债券C,4472/ 1004,386.22/ 836.22,106.87/ 16.06
000194,银华信用四季红债券A,债券型-长债,李丹/ 李翔宇/ 赵慧,银华基金,银华信用四季红债券A,1679/ 146/ 3221,102.05/ 57.28/ 144.5,15.88/ 1.38/ 0.53
000195,工银成长收益混合A,混合型-灵活,张洋,工银瑞信基金,工银成长收益混合A,3570,31.08,55.09
000196,工银成长收益混合B,混合型-灵活,张洋,工银瑞信基金,工银成长收益混合B,3570,31.08,55.09
000197,富国目标收益一年期纯债债券,债券型-长债,朱征星,富国基金,富国目标收益一年期纯债债券,1648,833.21,19.26
000198,天弘余额宝货币,货币型-普通货币,刘莹/ 田瑶/ 王昌俊,天弘基金,天弘余额宝货币,2629/ 1048/ 2598,8524.14/ 8029.23/ 8051.12,13.37/ 5.37/ 16.74
000199,国泰量化策略收益混合A,混合型-偏股,高崇南/ 贺天元,国泰基金,国泰量化策略收益混合A,2457/ 1116,2.49/ 2.27,42.85/ 6.6
000200,博时岁岁增利一年持有期债券A,债券型-中短债,鲁邦旺,博时基金,博时岁岁增利一年持有期债券A,3084,1219.14,37.81
000201,诺安泰鑫一年定期开放债券A,债券型-长债,岳帅,诺安基金,诺安泰鑫一年定期开放债券A,3184,1076.82,39.27
000203,国富日日收益货币A,货币型-普通货币,王莉/ 严婧璧,国海富兰克林基金,国富日日收益货币A,3412/ 2130,233.65/ 227.04,42.03/ 13.13
000204,国富日日收益货币B,货币型-普通货币,王莉/ 严婧璧,国海富兰克林基金,国富日日收益货币B,3412/ 2130,233.65/ 227.04,42.03/ 13.13
000205,易方达投资级信用债债券A,债券型-长债,王晓晨,易方达基金,易方达投资级信用债债券A,5033,750.43,174.32
000206,易方达投资级信用债债券C,债券型-长债,王晓晨,易方达基金,易方达投资级信用债债券C,5033,750.43,174.32
000207,建信双债增强债券A,债券型-混合一级,彭紫云/ 薛玲/ 张溢麟,建信基金,建信双债增强债券A,2141/ 3248/ 873,157.13/ 69.66/ 16.3,23.66/ 113.08/ 2.51
000208,建信双债增强债券C,债券型-混合一级,彭紫云/ 薛玲/ 张溢麟,建信基金,建信双债增强债券C,2141/ 3248/ 873,157.13/ 69.66/ 16.3,23.66/ 113.08/ 2.51
000209,中信保诚新兴产业混合A,混合型-偏股,孙浩中,中信保诚基金,中信保诚新兴产业混合A,1979,29.11,36.78
000210,光大现金宝货币A,货币型-普通货币,沈荣,光大保德信基金,光大现金宝货币A,2854,337.66,26.31
000211,光大现金宝货币B,货币型-普通货币,沈荣,光大保德信基金,光大现金宝货币B,2854,337.66,26.31
000212,泰信鑫益定期开放A,债券型-长债,李俊江,泰信基金,泰信鑫益定期开放A,1792,165.32,19.8
000213,泰信鑫益定期开放C,债券型-长债,李俊江,泰信基金,泰信鑫益定期开放C,1792,165.32,19.8
000214,广发成长优选混合,混合型-灵活,姚秋,广发基金,广发成长优选混合,3813,17.62,12.72
000215,广发趋势优选灵活配置混合A,混合型-灵活,谭昌杰,广发基金,广发趋势优选灵活配置混合A,4694,28.6,78.19
000216,华安黄金易ETF联接A,指数型-其他,许之彦,华安基金,华安黄金易ETF联接A,6780,1156.79,181.16
000217,华安黄金易ETF联接C,指数型-其他,许之彦,华安基金,华安黄金易ETF联接C,6780,1156.79,181.16
000218,国泰黄金ETF联接A,指数型-其他,艾小军,国泰基金,国泰黄金ETF联接A,4151,1119.87,204.68
000219,博时裕益混合,混合型-灵活,王冠桥,博时基金,博时裕益混合,672,1.22,15.9
000220,富国医疗保健行业混合A,混合型-偏股,孙笑悦,富国基金,富国医疗保健行业混合A,1873,13.58,-0.88
000221,汇添富年年利定期开放债券A,债券型-混合一级,徐光,汇添富基金,汇添富年年利定期开放债券A,2470,143.2,27.18
000222,汇添富年年利定期开放债券C,债券型-混合一级,徐光,汇添富基金,汇添富年年利定期开放债券C,2470,143.2,27.18
000227,华安年年红债券A,债券型-混合一级,石雨欣,华安基金,华安年年红债券A,3601,42.37,97.03
000235,诺安稳固收益一年定期开放债券A,债券型-长债,郭晓晖,诺安基金,诺安稳固收益一年定期开放债券A,2372,75.35,39.31
000236,工银月月薪定期支付债券A,债券型-混合二级,张洋,工银瑞信基金,工银月月薪定期支付债券A,3570,31.08,55.09
000239,华安年年盈定开债A,债券型-混合一级,魏媛媛,华安基金,华安年年盈定开债A,1379,119.67,13.25
000240,华安年年盈定开债C,债券型-混合一级,魏媛媛,华安基金,华安年年盈定开债C,1379,119.67,13.25
000241,宝盈核心优势混合C,混合型-灵活,吕功绩,宝盈基金,宝盈核心优势混合C,335,9.96,11.9
000242,景顺长城策略精选灵活配置混合A,混合型-灵活,张靖,景顺长城基金,景顺长城策略精选灵活配置混合A,4839,85.45,258.96
000244,天弘稳利定期开放A,债券型-混合一级,柴文婷,天弘基金,天弘稳利定期开放A,2968,342.73,44.26
000245,天弘稳利定期开放B,债券型-混合一级,柴文婷,天弘基金,天弘稳利定期开放B,2968,342.73,44.26
000248,汇添富中证主要消费ETF联接A,指数型-股票,过蓓蓓,汇添富基金,汇添富中证主要消费ETF联接A,3584,474.56,121.63
000251,工银金融地产混合A,混合型-偏股,鄢耀,工银瑞信基金,工银金融地产混合A,4291,91.63,349.09
000252,景顺长城景兴信用纯债债券A,债券型-长债,何江波,景顺长城基金,景顺长城景兴信用纯债债券A,2293,242.37,26.81
000253,景顺长城景兴信用纯债债券C,债券型-长债,何江波,景顺长城基金,景顺长城景兴信用纯债债券C,2293,242.37,26.81
000254,长城增强收益定开债券A,债券型-混合一级,张棪,长城基金,长城增强收益定开债券A,2819,182.64,64.69
000255,长城增强收益定开债券C,债券型-混合一级,张棪,长城基金,长城增强收益定开债券C,2819,182.64,64.69
000259,农银区间收益混合,混合型-灵活,魏刚,农银汇理基金,农银区间收益混合,2618,5.3,82.89
000263,工银信息产业混合A,混合型-偏股,单文,工银瑞信基金,工银信息产业混合A,3260,55.25,102.32
000264,博时内需增长混合A,混合型-灵活,陈雷,博时基金,博时内需增长混合A,3923,3.32,84.54
000265,易方达恒久添利1年定开债A,债券型-长债,藏海涛,易方达基金,易方达恒久添利1年定开债A,1913,220.93,22.33
000266,易方达恒久添利1年定开债C,债券型-长债,藏海涛,易方达基金,易方达恒久添利1年定开债C,1913,220.93,22.33
000267,广发集利一年定开债A,债券型-长债,代宇,广发基金,广发集利一年定开债A,5043,243.82,138.17
000268,广发集利一年定开债C,债券型-长债,代宇,广发基金,广发集利一年定开债C,5043,243.82,138.17
000270,建信灵活配置混合A,混合型-灵活,郭志腾/ 叶乐天,建信基金,建信灵活配置混合A,536/ 4814,4.96/ 63.6,109.32/ 205.82
000271,中邮定开债券A,债券型-长债,张悦,中邮基金,中邮定开债券A,1665,98.04,20.23
000272,中邮定开债券C,债券型-长债,张悦,中邮基金,中邮定开债券C,1665,98.04,20.23
000273,华润元大安鑫灵活配置混合A,混合型-灵活,李武群,华润元大基金,华润元大安鑫灵活配置混合A,3323,1.78,81.1
000274,广发亚太中高收益债(QDII)A,QDII-纯债,沈博文,广发基金,广发亚太中高收益债(QDII)A,2277,13.0,5.97
000275,广发亚太中高收益债美元现汇(QDII)A,QDII-纯债,沈博文,广发基金,广发亚太中高收益债美元现汇(QDII)A,2277,13.0,5.97
000277,博时双月薪定期支付债券,债券型-长债,胥艺,博时基金,博时双月薪定期支付债券,899,32.56,10.78
000279,华商红利优选混合,混合型-灵活,邓默,华商基金,华商红利优选混合,3547,22.96,74.81
000286,银华信用季季红债券A,债券型-混合一级,李丹/ 赵慧,银华基金,银华信用季季红债券A,1679/ 3221,102.05/ 144.5,15.88/ 0.53
000289,鹏华丰泰定开债A,债券型-混合一级,戴钢/ 杨雅洁,鹏华基金,鹏华丰泰定开债A,4918/ 2492,6.42/ 59.11,72.37/ 7.21
000290,鹏华全球高收益债(QDII),QDII-纯债,郝黎黎,鹏华基金,鹏华全球高收益债(QDII),1052,32.15,16.99
000294,华安生态优先混合A,混合型-偏股,陈媛,华安基金,华安生态优先混合A,2646,47.04,42.21
000295,鹏华丰实定期开放债券A,债券型-混合一级,方昶/ 林艺杰/ 王石千,鹏华基金,鹏华丰实定期开放债券A,2509/ 555/ 2616,314.66/ 50.4/ 216.04,31.02/ 10.48/ 74.05
000296,鹏华丰实定期开放债券B,债券型-混合一级,方昶/ 林艺杰/ 王石千,鹏华基金,鹏华丰实定期开放债券B,2509/ 555/ 2616,314.66/ 50.4/ 216.04,31.02/ 10.48/ 74.05
000297,鹏华可转债债券A,债券型-混合二级,王石千,鹏华基金,鹏华可转债债券A,2616,216.04,74.05
000298,中海纯债债券A,债券型-长债,王影峰/ 殷婧,中海基金,中海纯债债券A,1389/ 1298,33.09/ 12.42,10.63/ 7.49
000299,中海纯债债券C,债券型-长债,王影峰/ 殷婧,中海基金,中海纯债债券C,1389/ 1298,33.09/ 12.42,10.63/ 7.49
000300,德邦德利货币A,货币型-普通货币,张晶/ 张旭,德邦基金,德邦德利货币A,313/ 292,171.55/ 148.32,2.94/ 10.66
000301,德邦德利货币B,货币型-普通货币,张晶/ 张旭,德邦基金,德邦德利货币B,313/ 292,171.55/ 148.32,2.94/ 10.66
000305,中银中高等级债券A,债券型-长债,易芳菲,中银基金,中银中高等级债券A,3288,303.27,35.27
000306,天弘弘利债券A,债券型-混合二级,刘嗣兴/ 刘洋/ 尹粒宇,天弘基金,天弘弘利债券A,424/ 2968/ 2179,106.26/ 601.56/ 204.09,5.58/ 38.35/ 15.34
000307,易方达黄金ETF联接A,指数型-其他,鲍杰,易方达基金,易方达黄金ETF联接A,901,351.93,68.67
000308,建信创新中国混合,混合型-偏股,邵卓,建信基金,建信创新中国混合,3716,26.34,123.9
000309,大摩品质生活精选股票A,股票型,缪东航/ 赵伟捷,摩根士丹利基金,大摩品质生活精选股票A,3043/ 1544,13.82/ 3.25,54.56/ 0.45
000310,安信永利信用债券A,债券型-混合一级,黄琬舒,安信基金,安信永利信用债券A,1254,136.01,11.53
000311,景顺长城沪深300指数增强A,指数型-股票,黎海威,景顺长城基金,景顺长城沪深300指数增强A,4227,76.08,156.1
000312,华安沪深300增强A,指数型-股票,张序,华安基金,华安沪深300增强A,1834,27.85,93.44
000313,华安沪深300增强C,指数型-股票,张序,华安基金,华安沪深300增强C,1834,27.85,93.44
